names,.id
xmlns,ops:world-patent-data.@xmlns.$
xmlns_ops,ops:world-patent-data.@xmlns.ops
xmlns_xlink,ops:world-patent-data.@xmlns.xlink
total_result_count,ops:world-patent-data.ops:biblio-search.@total-result-count
query_syntax,ops:world-patent-data.ops:biblio-search.ops:query.@syntax
query,ops:world-patent-data.ops:biblio-search.ops:query.$
query_range_begin,ops:world-patent-data.ops:biblio-search.ops:range.@begin
query_range_end,ops:world-patent-data.ops:biblio-search.ops:range.@end
meta_country,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.@country
meta_document_number,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.@doc-number
meta_family_id,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.@family-id
meta_kind,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.@kind
meta_system,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.@system
abstract_language,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.abstract.@lang
abstract,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.abstract.p.$
application_id,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.application-reference.@doc-id
application_type,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.@document-id-type
application_country,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.country.$
application_date,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.date.$
application_number,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.doc-number.$
application_kind,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.kind.$
ipc,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.classification-ipc.text.$
ipc_sequence,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.classifications-ipcr.classification-ipcr.@sequence
ipc_text,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.classifications-ipcr.classification-ipcr.text.$
title_language,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.invention-title.@lang
title,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.invention-title.$
applicant_format,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.parties.applicants.applicant.@data-format
applicant_sequence,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.parties.applicants.applicant.@sequence
applicant,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.parties.applicants.applicant.applicant-name.name.$
inventor_format,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.parties.inventors.inventor.@data-format
inventor_sequence,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.parties.inventors.inventor.@sequence
inventor,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.parties.inventors.inventor.inventor-name.name.$
cpc_sequence,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.@sequence
cpc_class,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.class.$
classification_office,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.classification-scheme.@office
classification_scheme,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.classification-scheme.@scheme
classification_symbol,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.classification-symbol.$
classification_value,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.classification-value.$
cpc_group,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.main-group.$
cpc_section,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.section.$
cpc_subclass,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.subclass.$
cpc_subgroup,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.subgroup.$
priority_kind,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.priority-claims.priority-claim.@kind
priority_sequence,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.priority-claims.priority-claim.@sequence
priority_type,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.priority-claims.priority-claim.document-id.@document-id-type
priority_date,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.priority-claims.priority-claim.document-id.date.$
priority_number,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.priority-claims.priority-claim.document-id.doc-number.$
publication_type,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.publication-reference.document-id.@document-id-type
publication_country,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.publication-reference.document-id.country.$
publication_date,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.publication-reference.document-id.date.$
publication_number,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.publication-reference.document-id.doc-number.$
publication_kind,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.publication-reference.document-id.kind.$
cited_by,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.@cited-by
cited_phase,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.@cited-phase
cited_office,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.@office
cited_sequence,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.@sequence
cited_category,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.category.$
cited_literature_number,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.nplcit.@num
cited_literature_text,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.nplcit.text.$
cited_patent_number_type,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.@dnum-type
cited_patent_count,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.@num
cited_patent_document_id_type,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.document-id.@document-id-type
cited_patent_country,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.document-id.country.$
cited_patent_date,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.document-id.date.$
cited_patent_number,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.document-id.doc-number.$
cited_patent_kind,ops:world-patent-data.ops:biblio-search.ops:search-result.exchange-documents.exchange-document.bibliographic-data.references-cited.citation.patcit.document-id.kind.$
ops_meta_name,ops:world-patent-data.ops:meta.@name
ops_meta_value,ops:world-patent-data.ops:meta.@value
meta_country,ops:world-patent-data.exchange-documents.exchange-document.@country
meta_document_number,ops:world-patent-data.exchange-documents.exchange-document.@doc-number
meta_family_id,ops:world-patent-data.exchange-documents.exchange-document.@family-id
meta_kind,ops:world-patent-data.exchange-documents.exchange-document.@kind
meta_status,ops:world-patent-data.exchange-documents.exchange-document.@status
meta_system,ops:world-patent-data.exchange-documents.exchange-document.@system
abstract_language,ops:world-patent-data.exchange-documents.exchange-document.abstract.@lang
abstract,ops:world-patent-data.exchange-documents.exchange-document.abstract.p.$
application_id,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.application-reference.@doc-id
application_type,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.@document-id-type
application_country,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.country.$
application_date,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.date.$
application_number,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.doc-number.$
application_kind,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.application-reference.document-id.kind.$
ipc,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.classification-ipc.text.$
ipc_sequence,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.classifications-ipcr.classification-ipcr.@sequence
ipc_text,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.classifications-ipcr.classification-ipcr.text.$
title_language,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.invention-title.@lang
title,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.invention-title.$
applicant_format,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.parties.applicants.applicant.@data-format
applicant_sequence,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.parties.applicants.applicant.@sequence
applicant,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.parties.applicants.applicant.applicant-name.name.$
inventor_format,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.parties.inventors.inventor.@data-format
inventor_sequence,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.parties.inventors.inventor.@sequence
inventor,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.parties.inventors.inventor.inventor-name.name.$
cpc_sequence,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.@sequence
cpc_class,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.class.$
classification_office,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.classification-scheme.@office
classification_scheme,ops:world-patent-data.exchange-documents.exchange-document.bibliographic-data.patent-classifications.patent-classification.classification-scheme.@scheme
